PetID,PetType,Breed,AgeMonths,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,AdoptionLikelihood
PET0001,Dog,Beagle,105,Brown,Small,25.11,1,0,325,150,0,1
PET0002,Bird,Parakeet,49,White,Small,30.04,0,0,320,50,1,0
PET0003,Cat,Persian,20,Brown,Large,1.88,1,0,157,0,1,1
PET0004,Cat,Persian,118,Mixed,Small,35.85,0,1,156,25,0,0
PET0005,Dog,Poodle,86,Gray,Large,34.48,0,0,139,25,0,1
PET0006,Dog,Golden Retriever,92,Mixed,Small,18.57,1,1,121,50,1,0
PET0007,Dog,Bulldog,63,Orange,Small,15.95,1,1,65,100,1,0
PET0008,Rabbit,Flemish Giant,61,Mixed,Medium,11.28,1,1,107,50,0,0
PET0009,Cat,Sphynx,104,Mixed,Medium,19.33,1,0,147,25,0,0
PET0010,Cat,Siamese,49,Orange,Small,2.25,1,0,137,100,0,1
PET0011,Dog,Bulldog,71,Brown,Medium,34.16,1,0,162,100,0,1
PET0012,Bird,Finch,1,Orange,Medium,1.9,0,1,100,75,0,0
PET0013,Rabbit,Holland Lop,96,Gray,Small,13.5,1,0,338,75,1,0
PET0014,Dog,German Shepherd,13,Mixed,Small,37.3,1,0,307,50,0,0
PET0015,Dog,Dachshund,94,Orange,Large,29.54,1,0,141,75,1,1
PET0016,Dog,Rottweiler,87,Mixed,Medium,11.61,0,0,83,75,0,1
PET0017,Dog,German Shepherd,51,Gray,Small,10.48,1,1,177,75,0,0
PET0018,Cat,Maine Coon,56,White,Large,0.7,1,1,198,150,0,0
PET0019,Dog,Poodle,83,Gray,Large,27.98,1,0,112,0,0,0
PET0020,Dog,Chihuahua,62,Black,Medium,2.43,0,0,56,100,1,1
PET0021,Cat,Scottish Fold,32,Black,Medium,21.54,1,0,179,25,1,0
PET0022,Dog,Labrador,30,Black,Large,38.5,1,0,186,100,1,1
PET0023,Dog,Beagle,29,Mixed,Large,4.82,1,0,218,100,1,1
PET0024,Dog,Labrador,49,Brown,Large,35.83,1,1,316,100,1,0
PET0025,Cat,Siamese,45,Brown,Medium,39.66,0,0,217,25,0,1
PET0026,Cat,Scottish Fold,93,Brown,Medium,2.93,1,0,120,75,1,1
PET0027,Dog,Labrador,30,Mixed,Medium,35.37,0,1,175,75,1,0
PET0028,Cat,Maine Coon,16,Gray,Small,20.89,1,0,23,100,0,1
PET0029,Cat,Bengal,40,Brown,Medium,36.31,1,0,213,75,1,1
PET0030,Dog,Dachshund,19,White,Large,23.07,0,1,235,75,0,0
PET0031,Cat,Abyssinian,18,Black,Medium,26.65,1,0,13,75,0,1
PET0032,Dog,Yorkshire Terrier,1,Gray,Medium,21.98,0,1,101,50,1,1
PET0033,Dog,Beagle,78,Black,Medium,34.65,0,1,24,75,0,0
PET0034,Bird,Parrot,115,Brown,Small,29.49,1,1,364,25,0,0
PET0035,Bird,Parrot,47,Gray,Medium,21.09,1,0,11,200,1,1
PET0036,Rabbit,Holland Lop,114,Orange,Large,34.79,1,0,273,100,1,1
PET0037,Dog,Labrador,66,White,Small,10.19,1,0,281,200,0,0
PET0038,Dog,German Shepherd,118,Brown,Small,6.71,0,1,94,50,1,0
PET0039,Cat,Persian,92,Brown,Large,6.84,0,1,201,150,0,0
PET0040,Dog,Bulldog,113,White,Small,13.69,0,0,21,100,0,0
PET0041,Dog,Labrador,114,White,Small,9.93,0,0,340,100,1,0
PET0042,Cat,Bengal,94,Orange,Large,37.24,1,0,211,100,1,0
PET0043,Dog,Chihuahua,38,Brown,Medium,4.68,1,0,140,50,0,0
PET0044,Rabbit,Lionhead,51,Mixed,Medium,28.11,1,0,293,100,1,1
PET0045,Dog,Labrador,63,Brown,Large,7.97,0,0,298,75,1,0
PET0046,Cat,Bengal,4,Black,Small,35.32,1,1,101,25,0,1
PET0047,Dog,Poodle,1,Gray,Medium,38.47,1,0,304,50,0,0
PET0048,Cat,Sphynx,8,Gray,Medium,18.89,0,0,359,150,0,0
PET0049,Cat,Maine Coon,29,Black,Large,35.22,1,0,28,150,1,0
PET0050,Dog,Poodle,55,Gray,Medium,0.7,1,0,41,200,1,1
PET0051,Bird,Finch,103,White,Medium,32.89,0,0,355,100,1,0
PET0052,Cat,Bengal,3,Gray,Medium,9.53,1,0,303,50,1,1
PET0053,Bird,Finch,32,Gray,Medium,36.39,1,1,146,50,1,1
PET0054,Rabbit,Dutch,10,Black,Large,0.54,1,1,256,50,0,0
PET0055,Cat,Siamese,74,Orange,Medium,22.47,1,0,227,0,0,0
PET0056,Bird,Parrot,83,Gray,Medium,30.39,1,0,236,75,0,1
PET0057,Dog,Labrador,110,Mixed,Medium,10.72,1,0,361,50,0,0
PET0058,Dog,Poodle,34,Gray,Medium,8.13,1,0,13,75,1,1
PET0059,Dog,Yorkshire Terrier,97,Orange,Medium,3.82,1,0,210,150,1,0
PET0060,Dog,Labrador,87,Black,Large,13.39,1,0,229,75,0,1
PET0061,Dog,Bulldog,55,Orange,Medium,22.61,1,0,100,150,0,1
PET0062,Dog,Golden Retriever,92,Black,Large,5.08,1,0,31,100,1,1
PET0063,Rabbit,Holland Lop,32,White,Large,15.38,0,0,16,50,0,1
PET0064,Dog,Labrador,50,Black,Medium,0.86,0,1,137,75,0,0
PET0065,Dog,Rottweiler,7,White,Medium,32.84,1,0,329,25,0,0
PET0066,Cat,Scottish Fold,93,White,Large,5.57,1,0,166,50,0,0
PET0067,Dog,German Shepherd,8,Black,Medium,11.69,0,0,310,100,1,0
PET0068,Rabbit,Lionhead,65,Mixed,Large,1.23,0,1,100,25,0,0
PET0069,Dog,Rottweiler,57,Brown,Medium,17.57,0,0,109,50,0,0
PET0070,Bird,Cockatiel,119,Black,Medium,33.68,1,0,343,75,0,1
PET0071,Cat,Siamese,67,Gray,Small,15.99,1,0,173,200,1,1
PET0072,Dog,German Shepherd,88,Mixed,Medium,7.59,1,1,237,100,0,0
PET0073,Dog,Beagle,87,Mixed,Large,30.27,1,0,162,100,0,0
PET0074,Rabbit,Mini Rex,59,Gray,Medium,31.66,1,1,216,25,0,1
PET0075,Cat,Maine Coon,72,Brown,Medium,7.36,1,1,264,100,0,1
PET0076,Cat,Siamese,54,Mixed,Large,30.95,1,0,263,100,0,0
PET0077,Cat,Ragdoll,111,White,Medium,37.92,0,1,292,100,1,1
PET0078,Dog,Labrador,101,Brown,Medium,7.07,1,0,274,200,0,0
PET0079,Dog,Beagle,67,Gray,Large,30.95,1,1,3,50,0,0
PET0080,Dog,Poodle,51,Brown,Medium,28.49,1,0,28,150,1,1
PET0081,Rabbit,Mini Rex,97,Black,Small,19.21,1,1,326,150,0,0
PET0082,Cat,Persian,92,Brown,Medium,2.79,1,0,149,0,0,1
PET0083,Dog,Labrador,111,White,Medium,3.45,1,0,28,75,0,0
PET0084,Dog,Chihuahua,8,Black,Medium,34.17,0,0,310,200,1,0
PET0085,Dog,Poodle,34,Orange,Medium,39.61,1,0,65,25,0,0
PET0086,Dog,Poodle,35,Gray,Medium,27.2,1,0,356,75,1,0
PET0087,Cat,Sphynx,96,Gray,Small,18.12,0,0,21,200,1,0
PET0088,Cat,Siamese,88,Brown,Medium,26.08,0,0,252,75,0,0
PET0089,Rabbit,Mini Rex,78,Mixed,Small,23.98,1,0,235,50,1,0
PET0090,Cat,Maine Coon,32,Black,Medium,15.65,0,1,227,75,0,0
PET0091,Dog,Chihuahua,46,Orange,Large,3.09,1,0,13,50,0,0
