isbn,title,author,genre,avg_rating,ratings_count,publish_year,publisher,pages,cover_url,synopsis
978-WATT-00027-3,La teoria de Kim,Wattpad Original,Romance,4.7,3800000,2017,Wattpad,355,https://i.pinimg.com/1200x/64/99/5d/64995d1b3a924f5027b09aabdafdd5d3.jpg,Sinopsis pendiente de completar.
978-WATT-00001-1,After (Despues),Anna Todd,Romance,4.1,4200000,2014,Wattpad/Planeta,582,https://covers.openlibrary.org/b/isbn/9781476792484-L.jpg,Sinopsis pendiente de completar.
978-WATT-00002-2,After 2 En mil pedazos,Anna Todd,Romance,4.0,3100000,2015,Wattpad/Planeta,612,https://covers.openlibrary.org/b/isbn/9781501130502-L.jpg,Sinopsis pendiente de completar.
978-WATT-00005-5,The Kissing Booth,Beth Reekles,Romance,3.9,1800000,2012,Wattpad/HarperCollins,432,https://covers.openlibrary.org/b/isbn/9780385742764-L.jpg,Sinopsis pendiente de completar.
978-WATT-00007-7,Quimica entre nosotros,Wattpad Original,Romance,4.3,2900000,2017,Wattpad,340,https://images.unsplash.com/photo-1544947950-fa07a98d237f?w=300&q=80,Sinopsis pendiente de completar.
978-WATT-00008-8,El chico de al lado,Wattpad Original,Romance,4.4,3100000,2018,Wattpad,310,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=300&q=80,Sinopsis pendiente de completar.
978-WATT-00009-9,Mas que amigos,Wattpad Original,Romance,4.2,2700000,2019,Wattpad,295,https://images.unsplash.com/photo-1543002588-bfa74002ed7e?w=300&q=80,Sinopsis pendiente de completar.
978-WATT-00010-0,Tu y yo contra el mundo,Wattpad Original,Romance,4.5,3400000,2020,Wattpad,325,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=300&q=80,Sinopsis pendiente de completar.
978-WATT-00013-3,Secretos de verano,Wattpad Original,Romance,4.4,2500000,2020,Wattpad,288,https://images.unsplash.com/photo-1531901599143-df5010ab9438?w=300&q=80,Sinopsis pendiente de completar.
978-WATT-00014-4,Nuestro ultimo verano,Wattpad Original,Romance,4.6,3800000,2021,Wattpad,302,https://images.unsplash.com/photo-1474552226712-ac0f0961a954?w=300&q=80,Sinopsis pendiente de completar.
978-WATT-00015-5,El amor que no fue,Wattpad Original,Drama,4.3,2100000,2019,Wattpad,275,https://images.unsplash.com/photo-1455885661740-29cbf08a42fa?w=300&q=80,Sinopsis pendiente de completar.
978-WATT-00016-6,Entre sombras te encontre,Wattpad Original,Fantasia,4.5,2600000,2020,Wattpad,368,https://images.unsplash.com/photo-1518744386442-2d48ac47a7eb?w=300&q=80,Sinopsis pendiente de completar.
978-WATT-00017-7,La chica del libro,Wattpad Original,Romance,4.4,2900000,2021,Wattpad,315,https://images.unsplash.com/photo-1519682337058-a94d519337bc?w=300&q=80,Sinopsis pendiente de completar.
978-WATT-00018-8,Un cafe contigo,Wattpad Original,Romance,4.6,3200000,2022,Wattpad,280,https://images.unsplash.com/photo-1507842217343-583bb7270b66?w=300&q=80,Sinopsis pendiente de completar.
978-WATT-00020-0,Mi guardian de estrellas,Wattpad Original,Fantasia,4.7,4100000,2022,Wattpad,420,https://images.unsplash.com/photo-1462331940025-496dfbfc7564?w=300&q=80,Sinopsis pendiente de completar.
978-WATT-00023-3,Promesas bajo la lluvia,Wattpad Original,Romance,4.5,3500000,2022,Wattpad,330,https://images.unsplash.com/photo-1516589178581-6cd7833ae3b2?w=300&q=80,Sinopsis pendiente de completar.
978-WATT-00024-4,El chico que me rompio,Wattpad Original,Drama,4.4,2800000,2022,Wattpad,298,https://images.unsplash.com/photo-1497366216548-37526070297c?w=300&q=80,Sinopsis pendiente de completar.
978-WATT-00025-5,Volver a empezar contigo,Wattpad Original,Romance,4.6,3900000,2023,Wattpad,345,https://i.pinimg.com/1200x/7a/8b/c0/7a8bc0a3fb4c764e2d025bbc98dc517d.jpg,Sinopsis pendiente de completar.
978-WATT-00026-6,Boulevard,Flor M. Salvador,Romance Drama,4.8,4500000,2015,Wattpad,420,https://i.pinimg.com/1200x/56/cd/df/56cddf06a431e16cc95e416cd611b393.jpg,Sinopsis pendiente de completar.
978-WATT-00028-0,Antes de diciembre,Wattpad Original,Romance Drama,4.8,4100000,2018,Wattpad,390,https://i.pinimg.com/736x/e3/d3/ad/e3d3ad2abc9f36bf69e2315ed3935c2b.jpg,Sinopsis pendiente de completar.
978-WATT-00029-7,Cuando no queden mas estrellas que contar,Wattpad Original,Romance,4.9,5200000,2019,Wattpad,410,https://i.pinimg.com/1200x/57/e7/99/57e799863808eeada59f49b2460d4026.jpg,Sinopsis pendiente de completar.
978-84-08-22001-1,Heartstopper,Alice Oseman,Romance,4.8,1900000,2018,Salamandra,294,https://i.pinimg.com/736x/d2/ba/d5/d2bad58004847feed75ad9ebd93a022a.jpg,Sinopsis pendiente de completar.
